age,experience_years,education_level,job_role,location,company_size,industry,remote_work,performance_rating,salary_lakh
38,15.5,Diploma,Data Scientist,Bangalore,Large,IT,No,Average,45.26
35,8.8,Bachelor's,Marketing Executive,Kolkata,Small,Finance,Yes,Good,19.92
41,17.2,Bachelor's,Data Scientist,Mumbai,Medium,Consulting,Yes,Average,53.84
37,13.9,Bachelor's,HR Specialist,Kolkata,Medium,Manufacturing,No,Good,36.43
26,1.9,Bachelor's,Project Manager,Hyderabad,Medium,Manufacturing,Yes,Good,15.89
44,19.5,High School,Senior Developer,Kolkata,Medium,Finance,Yes,Good,60.06
41,15.2,Bachelor's,Accountant,Kolkata,Small,IT,Yes,Average,42.15
37,15.7,Bachelor's,Marketing Executive,Kochi,Large,Healthcare,No,Good,43.77
24,2.6,Bachelor's,Marketing Executive,Kolkata,Small,Manufacturing,No,Excellent,12.57
36,9.0,High School,Business Analyst,Chennai,Small,Education,Yes,Good,23.29
30,7.4,High School,Senior Developer,Kochi,Medium,Manufacturing,No,Average,17.46
39,18.5,Bachelor's,Junior Developer,Mumbai,Large,Education,No,Average,54.07
38,12.9,Bachelor's,Project Manager,Bangalore,Large,Education,Yes,Good,36.79
42,16.5,Bachelor's,Data Analyst,Chennai,Large,Retail,No,Excellent,47.47
29,8.9,Master's,Data Scientist,Kochi,Medium,Consulting,Yes,Good,27.51
29,4.5,Bachelor's,Senior Developer,Kochi,Medium,Education,Yes,Average,14.91
37,11.1,Bachelor's,Data Analyst,Chennai,Medium,Retail,No,Good,28.4
26,1.3,Bachelor's,Data Analyst,Chennai,Large,Consulting,No,Average,10.48
42,16.6,High School,Data Analyst,Chennai,Medium,Healthcare,Yes,Good,43.72
33,12.6,Bachelor's,Marketing Executive,Kochi,Medium,Manufacturing,No,Excellent,34.91
40,15.2,Bachelor's,Project Manager,Kochi,Medium,Education,No,Good,42.97
30,7.1,Bachelor's,Data Scientist,Bangalore,Medium,Consulting,Yes,Average,22.29
42,19.4,High School,Software Engineer,Chennai,Small,Education,No,Good,57.49
44,17.9,Master's,Project Manager,Hyderabad,Medium,Retail,No,Average,56.62
43,15.6,Master's,Software Engineer,Kochi,Medium,Healthcare,Yes,Average,43.35
32,3.9,High School,Data Analyst,Chennai,Large,Retail,No,Good,9.81
